1,-5,-7,1,3,3,1,4,2,7,-1,-3,-3,3,-8,2,1,-1,-1,6,-7,0,-3,1,3,
2,1,-4,3,6,3,2,2,-4,1,-2,-6,-6,5,-6,0,2,2,-2,0,-6,6,-6,1,6,
3,8,-3,4,7,1,1,-1,-12,-4,-3,-8,-5,4,-2,1,-1,4,1,-3,-3,9,-3,3,3,
4,12,-2,4,4,1,0,-3,-17,-6,-2,-5,-2,2,-1,3,-2,1,2,-3,0,9,0,3,0,
5,13,0,3,1,2,-1,-3,-19,-5,0,-2,1,-1,-1,6,-3,0,3,-1,0,6,2,0,-3,
6,11,0,3,-2,0,0,0,-18,-1,3,1,4,-4,0,7,-3,1,1,1,-2,1,2,-2,-5,
7,6,-2,2,-5,-2,-1,4,-14,6,4,4,7,-4,-1,5,0,-1,-2,2,-3,-3,1,-1,-4,
8,-2,-5,2,-8,-3,0,7,-7,10,3,7,4,-1,-5,2,3,-4,-3,4,-3,-4,2,0,-1,
9,-7,-8,2,-5,-3,0,7,3,11,0,10,1,3,-9,-1,4,-4,-3,5,-6,-2,1,-3,2,
10,-9,-10,1,-2,-2,-1,4,10,9,-3,7,-2,8,-10,-3,5,-1,-2,5,-10,3,0,-4,5,
11,-8,-11,1,1,-1,0,2,14,4,-2,4,-5,10,-10,-2,2,0,1,4,-13,7,-1,-3,4,
12,-4,-11,2,4,0,1,1,15,-2,-1,1,-6,9,-11,2,-1,-1,4,2,-13,8,-2,0,1,
13,3,-11,3,7,0,1,1,13,-5,0,-2,-3,5,-12,6,-4,-1,4,-1,-10,6,-3,3,-2,
14,9,-10,5,6,1,2,2,8,-5,1,-5,0,-2,-10,8,-7,2,2,-1,-8,2,0,2,-4,
15,12,-7,6,3,3,1,2,0,-2,0,-8,3,-6,-6,7,-4,4,-1,0,-7,-1,1,1,-3,
16,12,-2,6,0,5,0,1,-11,4,-1,-11,6,-7,-3,3,-1,3,-4,2,-4,-3,2,3,-2,
17,9,0,3,-3,2,-3,1,-19,9,0,-8,5,-5,-1,0,2,2,-3,3,0,-2,1,4,1,
18,3,0,-1,-6,0,-4,2,-24,11,1,-5,2,0,2,-2,5,3,-2,3,2,2,0,2,4,
19,-5,1,-4,-8,1,-3,4,-26,10,2,-2,-1,8,3,-1,8,1,1,1,2,5,-2,0,3,
20,-10,3,-4,-5,2,0,5,-25,6,1,1,-4,13,1,1,5,-2,2,0,1,7,-1,-1,2,
21,-12,2,-1,-2,-1,3,5,-21,1,0,4,-5,15,-1,4,2,-2,3,0,0,6,0,-1,-1,
22,-11,-2,5,1,-4,6,4,-14,-3,-1,7,-4,14,-2,6,-1,-1,2,1,-2,2,1,-2,-4,
23,-7,-7,10,4,-5,5,2,-4,-4,-2,10,-1,10,-4,5,-4,-2,-1,3,-5,-1,2,-3,-3,
24,0,-9,12,7,-2,2,1,4,-2,-1,8,2,3,-8,3,-7,-4,-2,4,-7,-3,1,-2,-2,
25,10,-8,11,10,1,-1,1,9,1,0,5,3,-5,-11,0,-8,-3,-3,2,-10,-2,-2,-3,1,
26,17,-8,7,7,0,-4,2,11,3,1,2,2,-10,-11,-2,-5,0,-2,-1,-12,2,-3,-2,4,
27,21,-9,0,4,-1,-7,2,10,4,0,-1,1,-12,-10,-1,-2,1,1,-3,-11,7,-2,1,5,
28,22,-11,-6,1,-2,-6,1,6,4,-1,-4,0,-11,-8,3,1,2,4,-4,-7,9,-1,4,2,
29,20,-10,-9,-2,1,-3,-1,-1,3,-2,-7,-1,-7,-5,8,4,3,5,-4,-4,8,0,3,-1,
30,15,-6,-9,-5,4,0,-4,-11,3,-3,-10,0,0,-1,11,7,4,3,-3,-2,5,1,2,-3,
31,7,-1,-6,-8,5,3,-4,-18,4,0,-7,1,6,0,11,6,1,0,-1,-1,1,2,1,-4,
32,-4,4,0,-11,5,6,-1,-22,4,3,-4,0,11,-2,8,5,-2,-3,2,0,-2,3,1,-3,
33,-12,6,7,-8,2,7,3,-23,3,4,-1,-1,13,-3,2,2,-1,-6,4,0,-2,2,0,0,
34,-17,5,11,-5,-1,4,8,-21,1,5,2,-2,12,-3,-3,-1,0,-5,5,-1,1,1,-1,3,
35,-19,1,12,-2,-4,1,12,-16,-1,4,5,-2,8,-2,-5,-4,1,-2,7,-3,4,2,-2,3,
36,-18,-6,10,1,-7,-2,13,-8,-2,1,8,-1,3,-2,-4,-5,0,1,10,-4,6,3,-1,2,
37,-14,-12,5,4,-6,-5,11,3,-2,-2,11,0,-1,-5,0,-4,-3,4,12,-6,7,2,-2,1,
38,-7,-15,-1,7,-3,-6,8,11,1,-3,8,3,-4,-9,5,-3,-4,5,11,-7,5,-1,-1,-2,
39,3,-15,-4,10,0,-3,4,16,5,-4,5,4,-6,-12,8,-2,-3,3,7,-9,1,-4,-2,-4,
40,14,-12,-4,11,3,0,-1,18,8,-5,2,3,-5,-14,8,1,-2,0,0,-12,-2,-7,-3,-3,
41,22,-9,-1,8,3,3,-5,17,9,-4,-1,1,-1,-13,6,4,1,-2,-8,-15,-4,-8,-3,-2,
42,27,-7,3,5,2,4,-8,13,7,-3,-4,-2,2,-11,3,3,2,-3,-13,-15,-3,-5,0,1,
43,29,-6,7,2,1,4,-10,6,2,-2,-7,-5,4,-8,0,2,3,-3,-15,-12,1,-2,3,4,
44,28,-6,8,-1,0,1,-11,-4,-4,-1,-10,-6,5,-4,0,1,4,0,-14,-6,6,1,6,5,
45,24,-4,6,-4,2,-2,-11,-16,-7,0,-12,-3,5,-2,1,0,2,1,-10,2,10,4,8,4,
46,17,-1,3,-7,3,-3,-8,-25,-7,3,-9,0,4,-1,3,-1,1,2,-5,7,11,5,5,1,
47,7,2,0,-10,3,-3,-2,-31,-4,6,-6,3,2,0,5,-2,1,2,1,9,9,6,2,-2,
48,-6,4,-2,-13,2,-2,7,-34,2,9,-3,6,-1,2,6,-3,2,1,8,8,4,7,-1,-5,
49,-16,5,-1,-10,1,1,15,-34,9,8,0,7,-3,5,4,-2,3,-2,12,4,-2,4,-4,-6,
50,-23,4,1,-7,-1,2,20,-31,13,5,3,4,-4,6,1,-1,1,-3,15,1,-5,3,-3,-3,
51,-27,2,3,-4,-2,2,22,-25,14,2,6,1,-4,4,-2,0,-2,-3,17,-1,-5,2,-2,0,
52,-28,-1,4,-1,-3,1,21,-16,12,-1,9,-2,-3,-1,-4,1,-5,-2,18,-2,-2,1,-1,3,
53,-26,-6,4,2,-5,0,17,-4,7,-4,12,-5,-1,-8,-3,2,-7,1,18,-2,2,0,0,4,
54,-21,-10,3,5,-4,-1,12,7,-1,-5,11,-8,2,-12,1,3,-4,4,15,-5,7,-3,-3,5,
55,-13,-13,1,8,-3,-2,6,15,-6,-6,8,-5,6,-13,6,4,-1,5,9,-9,9,-6,-4,2,
56,-2,-14,0,11,-1,-1,0,20,-8,-6,5,-2,10,-12,10,4,1,4,0,-14,8,-9,-5,-1,
57,12,-13,0,14,1,0,-6,22,-7,-6,2,1,11,-12,11,1,0,1,-9,-17,6,-9,-3,-2,
58,23,-11,1,11,2,1,-11,21,-3,-5,-1,4,11,-13,9,0,-1,-2,-15,-17,3,-6,0,-3,
59,31,-10,3,8,1,2,-15,17,4,-4,-4,7,10,-13,4,-1,0,-5,-18,-14,-1,-3,3,-4,
60,36,-10,6,5,0,3,-18,10,9,-3,-7,5,8,-12,-3,-2,1,-7,-18,-8,-2,0,6,-1,
61,38,-9,8,2,1,2,-19,0,11,-1,-10,2,5,-8,-7,-3,4,-4,-16,-3,-2,2,5,0,
62,37,-5,9,-1,4,1,-17,-13,10,2,-13,-1,1,-3,-8,-4,5,-1,-13,1,-1,3,4,1,
63,33,0,9,-4,5,0,-12,-23,6,5,-10,-4,-4,1,-6,-5,4,2,-9,2,1,4,1,2,
64,26,6,6,-7,6,-3,-4,-30,1,8,-7,-5,-10,4,-1,-6,3,5,-4,0,4,5,-2,3,
65,16,9,0,-10,3,-6,4,-34,-3,8,-4,-4,-13,6,7,-3,2,8,1,-1,6,5,-1,2,
66,3,9,-5,-13,0,-5,11,-35,-4,7,-1,-1,-13,7,12,0,1,5,7,-1,7,6,0,1,
67,-9,6,-7,-12,-3,-2,15,-33,-4,4,2,0,-10,7,14,3,0,2,12,0,7,5,1,0,
68,-20,2,-6,-11,-4,1,16,-28,-3,1,5,1,-4,4,13,6,-3,-1,16,2,6,4,2,-1,
69,-28,-2,-2,-8,-4,4,15,-20,-1,-1,8,2,3,-2,9,7,-6,-4,18,4,4,2,2,-2,
70,-33,-6,5,-5,-4,7,13,-9,2,-2,11,3,11,-8,2,8,-6,-7,17,3,1,-1,-1,-3,
71,-35,-11,9,-2,-5,4,10,5,5,-3,14,3,20,-13,-5,9,-5,-7,13,-1,1,-4,-4,0,
72,-34,-15,10,1,-4,1,8,16,7,-2,11,2,26,-15,-9,6,-2,-4,8,-6,2,-5,-5,1,
73,-30,-17,8,4,-2,-2,6,24,8,-2,8,1,29,-15,-10,3,0,-1,3,-12,4,-5,-6,2,
74,-23,-16,4,7,1,-4,3,29,7,-3,5,-1,29,-14,-8,0,1,2,-1,-19,7,-4,-7,3,
75,-13,-14,1,10,2,-3,-1,31,4,-4,2,-3,26,-14,-3,-3,0,5,-4,-23,8,-3,-4,1,
76,0,-12,-1,13,2,-2,-6,30,0,-5,-1,-4,20,-14,5,-6,0,8,-6,-24,6,-2,-1,-2,
77,12,-11,0,12,1,1,-9,26,-3,-3,-4,-3,11,-13,12,-9,1,7,-6,-22,1,0,2,-5,
78,21,-11,2,9,0,2,-9,19,-3,0,-7,0,1,-11,16,-10,2,4,-5,-17,-5,1,5,-6,
79,27,-11,3,6,0,1,-6,9,-2,3,-10,1,-10,-9,17,-11,2,1,-3,-9,-8,2,8,-3,
80,30,-8,3,3,3,0,-2,-4,0,4,-13,2,-18,-7,15,-8,2,-2,-2,-1,-8,1,8,0,
81,30,-2,2,0,6,-1,2,-18,3,4,-14,3,-23,-4,10,-5,3,-5,-1,4,-5,1,5,3,
82,27,3,2,-3,5,0,5,-29,5,3,-11,2,-25,0,2,-2,4,-8,1,6,1,2,2,6,
83,21,7,2,-6,4,0,7,-37,4,2,-8,-1,-24,5,-6,1,5,-8,4,5,10,3,-1,9,
84,12,8,3,-9,1,1,8,-42,2,1,-5,-2,-20,10,-11,4,5,-5,8,4,16,4,-1,6,
85,0,8,3,-12,0,0,9,-44,1,1,-2,-1,-13,12,-13,7,2,-2,12,4,19,4,0,3,
86,-11,7,2,-11,-1,-1,9,-43,1,0,1,0,-3,11,-12,10,-1,1,13,5,19,1,1,0,
87,-19,5,0,-8,-2,-2,8,-39,2,-1,4,1,8,7,-8,11,-4,4,11,7,16,-2,2,-3,
88,-24,4,-1,-5,-1,-1,7,-32,2,-1,7,0,19,1,-1,11,-6,7,6,7,10,-5,0,-6,
89,-26,2,0,-2,-2,1,5,-22,1,-2,10,-1,27,-4,8,8,-5,9,2,4,1,-4,-3,-9,
90,-25,-1,4,1,-3,4,2,-9,0,-3,13,-1,32,-8,14,5,-4,6,-1,-2,-8,-3,-6,-9,
91,-21,-7,7,4,-6,3,-2,7,0,-4,16,0,34,-11,17,2,-3,3,-3,-9,-14,-2,-7,-6,
92,-14,-14,9,7,-7,2,-7,20,1,-5,13,1,33,-11,17,-1,0,0,-4,-15,-17,-1,-6,-3,
93,-4,-20,10,10,-6,1,-11,30,3,-4,10,2,29,-12,14,-4,-1,-3,-6,-18,-17,-2,-3,0,
94,5,-23,10,9,-3,0,-12,37,6,-1,7,3,22,-14,8,-7,-2,-6,-7,-20,-14,-1,-2,3,
95,13,-23,7,8,0,-3,-10,41,10,2,4,4,12,-17,1,-10,-3,-7,-7,-21,-8,0,-1,6,
96,18,-20,3,5,3,-4,-5,42,11,5,1,1,1,-21,-5,-11,-4,-6,-6,-21,1,1,0,9,
